text,label,intent
Hello sir this is calling from Dr Lal PathLabs. Sir I am calling to confirm your appointment for health checkup on Saturday at 9 AM. Sir this is a fasting blood test so please do not eat or drink anything except water after midnight. Our technician will arrive at your home. Sir the reports will be ready within 24 hours and can be downloaded online.,0,Legitimate Advisory
Hello sir good morning this is calling from the passport seva kendra. Sir your passport application is ready for dispatch. Sir the passport will be delivered to your registered address by speed post within 7 working days. Sir please ensure someone is available at the address to receive it. You can track the delivery status on the India Post website using your speed post tracking number.,0,Legitimate
Good morning sir this is calling from the UIDAI helpline. Sir I am calling to inform you that your Aadhaar address update request has been successfully processed. Sir your updated Aadhaar card can be downloaded from the myaadhaar.uidai.gov.in portal using your registered mobile number. No charges apply for downloading the e-Aadhaar sir.,0,Legitimate
Hello sir this is calling from the Income Tax Department grievance cell. Sir I am calling regarding a refund of 9800 rupees for the assessment year 2024 to 2025. Sir the refund has been processed and will be credited to your registered bank account within 7 working days. Sir no action is required from your side. Thank you for filing your taxes on time sir.,0,Legitimate
Good morning sir this is EPFO calling. Sir I am calling to inform you that your EPF withdrawal request of 45000 rupees has been approved. Sir the amount will be credited to your registered bank account within 15 working days. Sir if you have not received the amount after 15 days please visit your nearest EPFO office. We do not ask for OTP or bank account details sir.,0,Legitimate
Hello sir this is the Regional Transport Office calling. Sir your driving licence renewal application has been approved. Sir please collect your new licence from the RTO office within 30 days. Bring your acknowledgement receipt and original old licence. Sir no payment is required at the office as you have already paid online. Is there anything else I can help you with?,0,Legitimate
Good morning sir this is calling from the Municipal Corporation. Sir I am calling to inform you that your property tax for the financial year 2024 to 2025 has been received and updated in our records. Sir your receipt has been generated and can be downloaded from the municipal portal. Sir if you face any issues please visit your nearest ward office. Thank you sir.,0,Legitimate
Hello sir good morning this is calling from the election commission office. Sir I am calling to inform you that there is a discrepancy in your voter ID registration. Sir please visit your nearest election office with your original documents to get it corrected. Sir no payment is required and do not share any OTP or bank details with anyone claiming to be from the election commission.,0,Legitimate Advisory
Hello sir this is the district education office calling. Sir I am calling regarding your teacher transfer request. Sir the transfer order has been processed and you are required to report to your new school from 1st August. Sir please collect the official transfer order from the district education office before joining. Congratulations sir.,0,Legitimate
Good afternoon sir this is the National Scholarship Portal helpline. Sir I am calling to inform you that your scholarship application has been approved. Sir the scholarship amount of 15000 rupees will be credited to your bank account within 30 working days. Sir please make sure your bank account details are correctly updated on the portal. We do not collect any processing fee sir.,0,Legitimate
Hello sir this is calling from the district collectorate. Sir your application for caste certificate has been approved. Sir please collect it from the collectorate office on any working day between 10 AM and 4 PM with your acknowledgement slip and original ID proof. No payment is required at the office sir.,0,Legitimate
Good morning sir this is NSDL calling. Sir I am calling to inform you that your PAN card application has been processed. Sir your PAN number has been dispatched to your registered address by speed post. Sir expected delivery is within 7 working days. Please collect it and keep it safe. For any queries please visit tin.tin.nsdl.com.,0,Legitimate
Hello sir this is calling from the Gas Authority of India. Sir your new domestic gas connection application has been approved. Sir a technician will visit your address within 5 working days to complete the installation. Sir please ensure someone is home during the visit. No advance payment is required sir. Payment will be collected only by the technician after installation.,0,Legitimate Advisory
Good morning sir this is HP Gas customer care. Sir your LPG cylinder booking has been confirmed. Sir your booking number is 456789. Sir delivery will happen within 2 to 3 working days. Please keep the booking slip ready and make payment only to the official delivery person. Do not pay to anyone else sir.,0,Legitimate Advisory
Hello sir this is calling from State Electricity Board. Sir I am calling to inform you that planned maintenance work will be carried out in your locality on Wednesday from 8 AM to 2 PM. Sir power supply will be interrupted during this period. We request you to make necessary arrangements. We apologize for the inconvenience sir.,0,Legitimate Advisory
Hello sir good morning this is Zerodha support calling. Sir I am calling to inform you that your account nominee registration is still pending. Sir it is important to add a nominee to secure your investments. Sir please log in to your Zerodha account and complete the nominee registration at your earliest convenience. We do not ask for any OTP or password over the phone sir.,0,Legitimate Advisory
Good morning sir this is calling from CIBIL. Sir I am calling to inform you that your credit report has been updated. Sir your current credit score is 748. Sir to view your detailed credit report please log in to cibil.com using your registered email and mobile number. No payment is required to view your basic report sir.,0,Legitimate
Hello sir this is calling from the National Pension System helpline. Sir your NPS account contribution for the month of June has been successfully processed. Sir the updated statement is available on the CRA website. Sir please log in using your PRAN number to check your account balance. For any queries please visit your nearest NPS point of presence.,0,Legitimate
Good afternoon sir this is SBI Mutual Fund calling. Sir your SIP of 5000 rupees in the SBI Bluechip Fund has been successfully processed for the month of July. Sir the current NAV and updated portfolio value can be seen in the SBI MF app. For any redemption or changes please use the app or visit your nearest SBI branch. We never ask for OTP over the phone sir.,0,Legitimate
Hello sir this is calling from the Consumer Forum helpline. Sir we have received your complaint against the electronics company. Sir your complaint has been registered with number CF2024789. Sir the company has been notified and will respond within 15 working days. Sir for updates please visit the consumer forum portal using your complaint number.,0,Legitimate
Good morning sir this is calling from the Employees State Insurance Corporation. Sir I am calling to inform you that your ESI medical claim of 8500 rupees has been approved. Sir the amount will be credited to your bank account within 10 working days. Sir for any queries please visit your nearest ESIC office. No payment is required from your side sir.,0,Legitimate
Hello sir this is calling from Indane gas customer care. Sir we have noted your complaint about a gas leak smell in your area. Sir please ensure all gas appliances are switched off and open all windows immediately. Sir our technical team will visit your location within 2 hours. Sir this service is completely free. Please do not use any electrical switches until our team arrives.,0,Legitimate Advisory
Good morning sir this is the court registry calling. Sir your case number 4521 of 2024 has been listed for hearing on 18th July at 11 AM before the district court. Sir please inform your advocate and ensure your presence on the scheduled date. For any queries please contact the court registry directly during working hours. No payment is required over the phone sir.,0,Legitimate
Hello sir this is calling from the pollution control board. Sir your vehicle pollution check certificate is due for renewal this month. Sir please visit any authorized PUC center near you to get the certificate renewed. Sir driving without a valid PUC certificate attracts a fine under the Motor Vehicles Act. No payment should be made over the phone sir.,0,Legitimate Advisory
Good morning sir this is the school office calling. Sir I am calling to inform you that the parent teacher meeting for your child is scheduled for Saturday 19th July at 10 AM. Sir please make sure you attend as the class teacher has important feedback to share. For any queries please contact the school reception during school hours. Thank you sir.,0,Legitimate Advisory
Hello sir this is calling from the RBI awareness helpline. Sir I want to bring to your attention that RBI never calls citizens asking for bank account details OTP or money transfers. Sir if you receive any such call please do not share any information and report it to the cyber crime helpline 1930 immediately. Stay safe sir.,0,Fraud Awareness
Hello sir this is the cyber crime awareness cell calling. Sir we are informing citizens that fraudsters are impersonating CBI ED and police officers to conduct so called digital arrests. Sir please be aware that digital arrest has no legal basis in India. Sir if you receive such a call please hang up immediately and call 1930. Do not transfer any money sir.,0,Fraud Awareness
Good morning sir this is calling from the Ministry of Home Affairs cyber safety division. Sir we are conducting awareness calls to inform citizens about the rise in digital arrest scams. Sir remember that no government agency will ever call you asking to stay on a video call or transfer money to avoid arrest. Sir report any such call to cybercrime.gov.in or call 1930.,0,Fraud Awareness
Hello sir this is calling from TRAI. Sir we want to inform you that we never block mobile numbers over the phone or ask citizens to join video calls for verification. Sir if anyone calls claiming to be from TRAI and asks you to join a video call or pay money please hang up and call 1930 immediately. Your safety is our priority sir.,0,Fraud Awareness
Good afternoon sir this is the bank ombudsman office calling. Sir I am calling to follow up on your complaint against your bank. Sir your complaint has been reviewed and the bank has been directed to resolve the issue within 30 days. Sir if you are not satisfied with the resolution you can escalate the matter to our office. No charges apply for this process sir.,0,Legitimate
Hello sir good morning this is calling from PhonePe customer support. Sir I am calling regarding a failed transaction on your account. Sir the amount of 2500 rupees that was debited will be reversed to your account within 3 to 5 working days. Sir no action is required from your side. We will never ask for your UPI PIN or OTP over the phone sir.,0,Legitimate
Good morning sir this is calling from GPay support. Sir I am calling to inform you that a transaction you disputed has been resolved in your favor. Sir the amount of 1800 rupees will be credited back to your bank account within 7 working days. For any further queries please use the GPay app or call our official helpline. We never ask for OTP sir.,0,Legitimate
Hello sir this is calling from Paytm customer care. Sir your complaint about the failed wallet transaction has been resolved. Sir the amount of 500 rupees has been credited back to your Paytm wallet. You can check your wallet balance in the Paytm app. Sir we will never ask for your Paytm PIN or bank OTP over the phone. Thank you sir.,0,Legitimate
Good afternoon sir this is Nykaa customer care calling. Sir your order for skincare products has been delivered. Sir we noticed you have not rated your experience yet. Sir your feedback helps us improve. Please rate your experience on the Nykaa app. Also your loyalty points of 200 have been added to your account. Thank you for shopping with us sir.,0,Legitimate
Hello sir this is calling from Meesho customer care. Sir I am calling regarding your recent order return request. Sir your return has been approved and our pickup executive will collect the item from your address tomorrow between 10 AM and 6 PM. Sir your refund of 899 rupees will be processed within 7 working days after we receive the item. Thank you sir.,0,Legitimate
Good morning sir this is Myntra customer care. Sir your exchange request for the shirt you ordered has been approved. Sir our pickup executive will collect the old item and deliver the new size in the next 3 to 5 working days. Sir no additional payment is required. For updates please track the exchange on the Myntra app. Thank you for your patience sir.,0,Legitimate
Hello sir this is calling from BigBasket. Sir your grocery order has been scheduled for delivery tomorrow morning between 7 and 9 AM. Sir please ensure someone is available at home to receive the order. Sir if you have any special instructions for the delivery please add them in the app. For queries contact us through the BigBasket app. Thank you sir.,0,Legitimate
Good afternoon sir this is calling from Blinkit. Sir I am calling to confirm your order is being prepared and will be delivered in 15 minutes. Sir please keep your phone accessible so our delivery partner can contact you. For any issues with the order please raise it through the Blinkit app. Thank you sir.,0,Legitimate
Hello sir this is calling from IRDA the insurance regulatory authority. Sir we are calling to inform you that no insurance company is authorized to collect premium payments over phone calls. Sir if anyone calls you asking for insurance premium or OTP please do not share any details and report to 1930. Legitimate insurance companies will only ask you to pay through official channels sir.,0,Fraud Awareness
Good morning sir this is calling from the district hospital. Sir I am calling to remind you of your follow-up appointment with Dr Gupta on Thursday at 3 PM. Sir please bring your previous prescription and test reports. Sir if you need to reschedule please call the hospital reception at least a day in advance. The consultation is covered under your health scheme sir.,0,Legitimate Advisory
Hello sir this is calling from the voter helpline 1950. Sir I am calling to inform you that the special summary revision of electoral rolls is ongoing. Sir if you have not verified your details please visit your nearest booth level officer or check your voter registration status at voterportal.eci.gov.in. No payment is required for voter registration or verification sir.,0,Legitimate Advisory
Good afternoon sir this is calling from the National Health Authority. Sir I am calling regarding your Ayushman Bharat health card. Sir your card has been renewed and is valid for another year. Sir you can avail cashless treatment at any empanelled government or private hospital. For details visit the Ayushman Bharat website or call 14555. No payment is required sir.,0,Legitimate
Hello sir this is calling from SIDBI the Small Industries Development Bank of India. Sir I am calling to inform you that your loan application of 10 lakh rupees under the MUDRA scheme has been approved. Sir please visit your nearest participating bank branch with your original documents to complete the disbursement process. No processing fee is charged under this scheme sir.,0,Legitimate
Good morning sir this is calling from the National Rural Health Mission helpline. Sir I am calling to inform you that a free health checkup camp is being organized in your area on 20th July from 9 AM to 4 PM. Sir services like blood pressure sugar test and eye checkup will be available free of cost. No registration or payment is required sir.,0,Legitimate Advisory
Hello sir this is Cleartrip customer care calling. Sir your hotel booking in Goa for 15th to 17th August has been confirmed. Sir your booking ID is CT456789. Sir the hotel will provide complimentary breakfast as per your booking. Sir for any changes please use the Cleartrip app or call our helpline. Have a wonderful trip sir.,0,Legitimate
Good afternoon sir this is calling from Agoda customer care. Sir I am calling regarding a special offer available on your upcoming hotel booking. Sir you are eligible for a free room upgrade based on your loyalty points. No additional payment is required sir. Our team will coordinate with the hotel directly. Sir please carry a valid ID at check-in. Have a great stay.,0,Legitimate
Hello sir this is calling from the urban development authority. Sir your building plan approval application has been reviewed. Sir there are minor corrections required in the documents. Sir please submit the corrected documents at the authority office within 15 days to avoid rejection of your application. No payment is required at this stage sir.,0,Legitimate
Good morning sir this is the sub registrar office calling. Sir your property registration appointment is confirmed for 20th July at 11 AM. Sir please bring all original documents and two witnesses with valid ID. Sir the stamp duty and registration fee should be paid at the bank and the challan brought to the office. Do not pay any agent for this process sir.,0,Legitimate Advisory
Hello sir this is calling from IndiaMART customer care. Sir I am calling regarding your business listing on our platform. Sir your listing is due for renewal this month. Sir to continue receiving buyer inquiries please renew your subscription through the IndiaMART seller portal or contact your account manager. No payment should be made over the phone sir.,0,Legitimate Advisory
Good morning sir this is calling from NASSCOM. Sir I am calling to inform you that your registration for the upcoming tech conference has been confirmed. Sir the event is on 25th July at the convention center. Sir your entry pass will be emailed to your registered email address. No additional payment is required sir. We look forward to seeing you at the event.,0,Legitimate
Hello sir this is calling from the provident fund trust of your company. Sir I am calling to inform you that your PF annual statement for the year 2024 to 2025 is ready. Sir please collect it from the HR department or access it through the EPFO member portal. Sir if you have any queries about your PF balance please contact EPFO directly on 1800 118 005.,0,Legitimate
Good afternoon sir this is calling from DigiLocker helpline. Sir I am calling to inform you that your documents have been successfully linked to your DigiLocker account. Sir you can now access your Aadhaar driving licence PAN and other documents digitally anytime. Sir DigiLocker is a free government service and no payment is ever required to use it.,0,Legitimate
Hello sir this is calling from the cyber crime helpline 1930. Sir I am calling to follow up on the cybercrime complaint you registered last week. Sir your complaint number is CY2024567. Sir the investigation is in progress and our officer will contact you directly if any further information is required from your side. No payment is required for this complaint sir.,0,Legitimate
Good morning sir this is the consumer helpline 1915 calling. Sir your complaint against the service provider has been registered. Sir the reference number is CH2024890. Sir the company has been notified and is required to respond within 15 working days. For updates you can check the consumer helpline portal using your reference number. No charges apply sir.,0,Legitimate
Hello sir this is calling from the customs department customer service. Sir I am calling to inform you that your international parcel from the UK has cleared customs and is with the courier for delivery. Sir expected delivery is within 2 working days. Sir customs duty if any has already been assessed and you will be informed by the courier. No advance payment over the phone sir.,0,Legitimate
Good afternoon sir this is calling from DHL courier. Sir your parcel sent from Germany has arrived at our Mumbai facility. Sir it will be out for delivery tomorrow. Sir our delivery partner will call you before arriving. Please keep a valid ID ready for signature. For any queries please contact DHL customer care on the official number. No payment is required over this call sir.,0,Legitimate
Hello sir this is FedEx customer care calling. Sir your package from the United States has been cleared at customs. Sir it will be delivered to your address tomorrow between 10 AM and 6 PM. Sir please ensure someone is available to receive it. If you need to change the delivery date please do so through the FedEx app or website. Thank you sir.,0,Legitimate
Good morning sir this is calling from Blue Dart courier. Sir a document sent to you by your company has been dispatched and will be delivered today. Sir our delivery partner will contact you before arriving. Sir please ensure you collect it personally as it requires your signature. For any issues contact Blue Dart customer care on our official helpline sir.,0,Legitimate
Hello sir this is calling from the RTI helpline. Sir your Right to Information application has been received and registered. Sir the concerned department has been notified and is required to respond within 30 days as per the RTI Act. Sir if you do not receive a response within 30 days you can file a first appeal. No payment is required for this process sir.,0,Legitimate
Good afternoon sir this is National Legal Services Authority calling. Sir I am calling to inform you that you are eligible for free legal aid under the government scheme. Sir if you need legal assistance please visit your nearest district legal services authority office. All services are completely free of cost. No payment should be made to anyone claiming to provide free legal aid sir.,0,Legitimate Advisory
Hello sir this is calling from the district social welfare office. Sir your application for old age pension has been approved. Sir the pension amount will be credited directly to your bank account starting from next month. Sir if you have not linked your bank account with your Aadhaar please do so at your nearest bank branch. No payment required for this process sir.,0,Legitimate
Good morning sir this is PM Kisan helpline calling. Sir I am calling to inform you that the next installment of PM Kisan Samman Nidhi of 2000 rupees will be credited to your account next week. Sir please ensure your bank account is linked to your Aadhaar to receive the amount. Sir no fees or charges are ever deducted from this scheme amount. Thank you sir.,0,Legitimate
Hello sir this is calling from the cooperative bank. Sir your loan against gold ornaments is due for renewal this month. Sir please visit the bank with your loan documents and original ornaments for renewal. Sir no payment is required over the phone. All transactions must be done at the bank only. For queries contact our branch directly sir.,0,Legitimate
Good afternoon sir this is calling from the district agriculture office. Sir I am calling to inform you that the government subsidy for seeds and fertilizers for the current kharif season has been approved for your application. Sir the subsidy amount will be credited to your bank account within 15 working days. No agent fees or commissions are applicable sir.,0,Legitimate
Hello sir this is calling from the employment exchange. Sir I am calling to inform you that a job fair is being organized in your district on 22nd July at the district employment office. Sir companies from IT manufacturing and services sector will be participating. Sir registration is free and no placement agency fees are involved. Please carry your resume and ID proof.,0,Legitimate Advisory
Good morning sir this is the Skill India helpline calling. Sir your enrollment in the free digital literacy course under the PM Gramin Digital Saksharta Abhiyan has been confirmed. Sir the training will begin from 1st August at your nearest common service center. Sir the course is completely free and you will receive a government certificate on completion. No fees required sir.,0,Legitimate Advisory
Hello sir this is calling from the National Consumer Disputes Redressal Commission. Sir your consumer complaint case has been scheduled for hearing on 25th July. Sir please ensure you or your representative is present at the commission on the scheduled date. Sir bring all original documents and evidence. For queries contact the commission registry directly. No payment over phone sir.,0,Legitimate
Good afternoon sir this is the district food and civil supplies office calling. Sir I am calling to inform you that your ration card has been updated with the new family members you had applied for. Sir please visit your nearest ration shop from 1st August to avail the updated quota. Sir no payment is required for this update. Thank you sir.,0,Legitimate
Hello sir this is calling from the Swachh Bharat Mission helpline. Sir we are conducting a survey on sanitation facilities in your area. Sir this is completely voluntary and no personal financial information is required. Sir if you have any sanitation related complaints please register them at the local municipal office or call the Swachh Bharat helpline. Thank you for your time sir.,0,Legitimate
Good morning sir this is calling from the district pollution control board. Sir the noise level readings from your factory premises have been reviewed. Sir the readings are within the permissible limits and your compliance certificate has been renewed. Sir the certificate has been dispatched by post to your registered address. For queries contact our office directly sir.,0,Legitimate
Hello sir this is calling from the Pradhan Mantri Awas Yojana helpline. Sir I am calling to inform you that your application for the housing scheme has been reviewed. Sir you are eligible for a subsidy of 2.67 lakh rupees on your home loan. Sir please visit your nearest bank or housing finance company to avail this benefit. No middleman or agent fees are required sir.,0,Legitimate
Good afternoon sir this is calling from the Indian Army recruitment office. Sir I am calling regarding the Agniveer recruitment rally in your district. Sir the rally will be held on 28th July at the district stadium. Sir registration is free and is done only through the official joinindianarmy.nic.in portal. Sir do not pay any agent for recruitment. It is completely free.,0,Legitimate Advisory
Hello sir this is calling from the State Bank of India education loan department. Sir I am calling to inform you that your education loan application for 4 lakh rupees has been approved. Sir please visit your nearest SBI branch with your original admission letter and documents to complete the disbursement process. Sir no processing fee is charged for education loans under the government scheme.,0,Legitimate
Good morning sir this is calling from the NSDC National Skill Development Corporation. Sir your application for the free vocational training program has been accepted. Sir the training will be held at the authorized training center near you. Sir please carry your Aadhaar card and passport size photograph on the first day. The program is fully funded by the government and is free of cost sir.,0,Legitimate Advisory
